name              ,page            ,row,column,icon                          ,order,description
Bash              ,Combat Skills   ,1  ,2     ,/icons/skills/barbarian/0.png ,1    ,
Leap              ,Combat Skills   ,2  ,1     ,/icons/skills/barbarian/12.png,7    ,
Double Swing      ,Combat Skills   ,2  ,3     ,/icons/skills/barbarian/14.png,8    ,
Stun              ,Combat Skills   ,3  ,2     ,/icons/skills/barbarian/26.png,14   ,
Double Throw      ,Combat Skills   ,3  ,3     ,/icons/skills/barbarian/28.png,15   ,
Leap Attack       ,Combat Skills   ,4  ,1     ,/icons/skills/barbarian/34.png,18   ,
Concentrate       ,Combat Skills   ,4  ,2     ,/icons/skills/barbarian/36.png,19   ,
Frenzy            ,Combat Skills   ,5  ,3     ,/icons/skills/barbarian/42.png,22   ,
Whirlwind         ,Combat Skills   ,6  ,1     ,/icons/skills/barbarian/50.png,26   ,
Berserk           ,Combat Skills   ,6  ,2     ,/icons/skills/barbarian/52.png,27   ,
Sword Mastery     ,Combat Masteries,1  ,1     ,/icons/skills/barbarian/2.png ,2    ,
Axe Mastery       ,Combat Masteries,1  ,2     ,/icons/skills/barbarian/4.png ,3    ,
Mace Mastery      ,Combat Masteries,1  ,3     ,/icons/skills/barbarian/6.png ,4    ,
Pole Arm Mastery  ,Combat Masteries,2  ,1     ,/icons/skills/barbarian/16.png,9    ,
Throwing Mastery  ,Combat Masteries,2  ,2     ,/icons/skills/barbarian/18.png,10   ,
Spear Mastery     ,Combat Masteries,2  ,3     ,/icons/skills/barbarian/20.png,11   ,
Increased Stamina ,Combat Masteries,3  ,1     ,/icons/skills/barbarian/30.png,16   ,
Iron Skin         ,Combat Masteries,4  ,3     ,/icons/skills/barbarian/38.png,20   ,
Increased Speed   ,Combat Masteries,5  ,1     ,/icons/skills/barbarian/44.png,23   ,
Natural Resistance,Combat Masteries,6  ,3     ,/icons/skills/barbarian/54.png,28   ,
Howl              ,Warcries        ,1  ,1     ,/icons/skills/barbarian/8.png ,5    ,
Find Potion       ,Warcries        ,1  ,3     ,/icons/skills/barbarian/10.png,6    ,
Taunt             ,Warcries        ,2  ,1     ,/icons/skills/barbarian/22.png,12   ,
Shout             ,Warcries        ,2  ,2     ,/icons/skills/barbarian/24.png,13   ,
Find Item         ,Warcries        ,3  ,3     ,/icons/skills/barbarian/32.png,17   ,
Battle Cry        ,Warcries        ,4  ,1     ,/icons/skills/barbarian/40.png,21   ,
Battle Orders     ,Warcries        ,5  ,2     ,/icons/skills/barbarian/46.png,24   ,
Grim Ward         ,Warcries        ,5  ,3     ,/icons/skills/barbarian/48.png,25   ,
War Cry           ,Warcries        ,6  ,1     ,/icons/skills/barbarian/56.png,29   ,
Battle Command    ,Warcries        ,6  ,2     ,/icons/skills/barbarian/58.png,30   ,
